Feature,Skewness,Kurtosis,Shapiro_P,Is_Normal
betaglucan.mg.L.,-1.625561670398209,2.522857548579077,1.0229547647913072e-15,False
lactic_acid.mg.L.,1.4847317705582967,1.6074003303361635,3.280938890371166e-17,False
glycerol,-2.2380633341338805,11.510515421621804,1.574036637858358e-14,False
iron,-0.04392277626621869,0.8951497476493762,0.0471585892974469,False
pH,-0.22477376529607568,0.9011556028033763,1.7724056369973476e-05,False
protein.g.L.,-1.0319426078278295,8.896870491855683,1.4555892904329596e-10,False
bitterness,-2.127382805855911,6.896260270854151,5.119129737725667e-16,False
GFS,0.5463640151422056,0.00767995700939661,1.4623156867796704e-06,False
ethanol..v.v.,-5.225577332758046,33.343504804595,7.330892000266573e-26,False
CO2.PSI.,-1.2571999866785066,0.45928539248144196,3.2528979500539245e-17,False
unfermentables,-1.7042686706879964,3.5276161316300017,4.975422231533187e-15,False
kcalperc,-1.5783076285839353,8.771074068299342,8.03374801909112e-11,False
X1.propanol,-4.321477930131281,21.04038720379404,2.1596717134908096e-25,False
X2.3.butanedione,6.697521208367518,45.49316438924344,1.2115476922666945e-31,False
X3.methylbutanal,11.838240436446654,145.5852964314787,6.5629607456229e-33,False
propylene.glycol,-0.8447024804379241,-1.1643866328879113,1.1727845638242326e-20,False
propyl.acetate,-3.238538286066887,9.387844520024721,2.2825363662726185e-26,False
n.pentanol,-1.2098738089920793,3.9816829901910435,1.0823466022194101e-08,False
X2.methyl.1.butanol,-1.2723255031080036,7.299649432885616,8.45262247154911e-11,False
isopentyl.formate,-1.5667957640093815,9.43482239366473,6.969195778682949e-12,False
ethyl.isobutyrate,2.516255821391611,7.036987425237223,1.166009561915813e-21,False
X3.methyl.2.butenal,0.25835583483555835,0.8085089971816637,0.17721302674557482,True
X2.methyltetrahydrofuran.3.one,15.810097536078368,249.9725939532743,1.5790974916226338e-33,False
ethyl.butyrate,5.857535884461063,41.574011198709805,2.835471622185806e-27,False
butyl.acetate,-2.102181079859904,4.8717455504949605,6.361038920042991e-20,False
methylpyrazine,9.980045923600679,105.45582676822362,2.5276039013741063e-32,False
furfural,8.669198851015043,89.66569169090239,1.0179701475541946e-30,False
ethyl.lactate,1.4229312080082928,0.13273827652866776,4.450730220681257e-25,False
X3Z.hexenol,7.707893979873762,60.923831571278754,1.0452234240871583e-31,False
n.hexanol,6.279081014334116,48.52761001763854,2.902320802721689e-27,False
styrene,7.068140960232583,57.73190803895797,1.2819190983938534e-29,False
X2.furanmethanol,-4.283792234089429,31.91792563081227,1.4937356678674533e-23,False
X3.methyl.2.hexanol,0.22430487782608707,0.3600226380822238,0.1717884869708156,True
X3.furanmethanol,0.8292748650262953,0.4078118065560745,1.243552023792602e-07,False
X2.acetylfuran,-4.751634102881719,33.572051671334634,4.6448939094232404e-23,False
X2.6.dimethyl.pyrazine,-0.43809079895330433,-1.7171285091977535,6.498525276880367e-20,False
amyl.acetate,2.414639067136247,9.95953535040371,6.460284378521538e-19,False
ethyl.tiglate,-3.4006103214083416,11.290101970407113,2.3177804452489947e-25,False
benzaldehyde,5.7971992514582285,36.28499591755526,6.94174182344611e-30,False
X5.methylfurfural,8.90593015129558,98.57719550479517,7.491353820551108e-30,False
n.heptanol,0.17839946719541785,0.6504648226015184,0.14444928898898474,True
X1.octen.3.ol,-4.378834348102748,26.671243812107875,4.290715123190862e-23,False
X3.methylthio.propanol,-2.5506721564287296,4.669936920121316,5.4019096978056716e-27,False
