feature,ks_stat,p_value
foeniculin,0.62,1.8145566299225125e-48
cadalene,0.13,0.02133663714307325
X2.3.dihydro.farnesol,0.0825,0.31887048886973485
X2E.6Z.farnesal,0.325,6.707822936321859e-13
caryophyllene.acetate,0.255,4.708125094512707e-08
X14.hydroxy.alpha.humulene,0.1525,0.003863813477929572
X2Z.6E.farnesal,0.1975,5.520946369863485e-05
X2Z.6Z.farnesol,0.2,4.2197706776709616e-05
X2Z.6E.farnesol,0.09,0.22598532664631668
ambroxide,0.1075,0.08954849691133762
benzyl.benzoate,0.095,0.17647045720826873
X2E.6E.methyl.farnesoate,0.33,2.7069886059800647e-13
ethyl.tetradecanoate,0.105,0.10326023610216986
X2.ethylhexylsalicylate,0.165,0.0013272765649306566
isopropyl.tetradecanoate,0.1,0.13591413534720856
ethyl.pentadecanoate,0.075,0.4348842202177677
methyl.hexadecanoate,0.1375,0.012446037426761309
Z.Z.geranyl.linalool,0.085,0.2853320095955398
ethyl.hexadecanoate,0.1325,0.017888195483849026
manool.oxide,0.08,0.3550125902842471
X13.epi.manool.oxide,0.0925,0.20004736274388757
isopropyl.hexadecanoate,0.265,1.1379283602422221e-08
manool,0.125,0.030049214777110294
ethyl.octadecanoate,0.08,0.3550125902842471
ethyl.pentanoate,0.395,5.08937988499931e-19
X2.ethyl.3.methylpyrazine,0.36,8.515654129464636e-16
esters_sum,0.055,0.8084857415008071
aroma_hops_sum,,
acids_sum,0.075,0.4348842202177677
sulfur_sum,0.065,0.6190713161830892
