Chemical_Feature,Impact_+15%,Impact_-15%,Sensitivity,Rank
isoamyl_alcohol,0.0006431121104510078,0.0004582672937395059,0.0011013794041905137,135
heptyl.acetate,-0.0003846786250878177,0.0007142618764240087,0.0010989405015118265,136
dimethoxy..E..citral,0.0010583519513157624,2.187251400317971e-05,0.001080224465318942,137
X2.3.dihydro.farnesol,-0.0006206335881889651,-0.0004381753957638636,0.0010588089839528286,138
X2.ethyl.1.hexanol,-0.0008079139419022444,-0.00023703401110633217,0.0010449479530085766,139
X13.epi.manool.oxide,-0.000294709187850492,0.0007351129030740034,0.0010298220909244955,140
X5.methylfurfural,6.26542997215118e-05,-0.0009651673707464944,0.0010278216704680061,141
isoamyl.lactate,0.00014331840414250123,-0.0008590451474149997,0.0010023635515575009,142
X4VG,-0.00045393890575249224,0.0005324670265468346,0.0009864059322993268,143
X14.hydroxy.9.epi..E..caryophyllene,-0.0005735085492529851,0.000408934620807006,0.0009824431700599912,144
tau.muurolol,-0.0006319729484842497,0.0003378661424566681,0.0009698390909409177,145
phenethyl_acetate,-0.0002773718427164982,0.0006611044004339667,0.000938476243150465,146
X2.ethylhexylsalicylate,0.0007873121166647523,0.00012298989912600065,0.0009103020157907529,147
manool,-0.00014623599823674526,0.0007178607404794993,0.0008640967387162446,148
X.Z..dihydro.apofarnesal,0.0005231616510699997,-0.00033310027497779717,0.0008562619260477969,149
ethyl_decanoate,0.00013158155995500256,-0.0007157666822914874,0.00084734824224649,150
n.hexanol,0.0005208919284855026,-0.0003204512722567291,0.0008413432007422317,151
cadalene,0.00032638254826584544,0.0004992256433732512,0.0008256081916390967,152
ethyl_2.methyl_butyrate,0.000289828001206501,-0.0005254347774501579,0.0008152627786566589,153
X2Z.6E.farnesal,-0.0005200625696844924,0.0002733652110070841,0.0007934277806915765,154
geosmin,0.00034218998222100235,-0.00041981840255750385,0.0007620083847785061,155
dehydroxy.cis.linalool.oxide,0.000640154513888501,-0.00012153237833549428,0.0007616868922239952,156
benzaldehyde,0.0003429463502880102,-0.00041537764387349145,0.0007583239941615016,157
GFS,-0.0002764735751009839,0.0004801097455197584,0.0007565833206207423,158
alpha.muurolol,-0.00012145777268832512,0.000625029388530004,0.0007464871612183292,159
isobutyl.hexanoate,0.0007040629058719974,2.0068303270998915e-05,0.0007241312091429964,160
alpha.terpinyl.isobutanoate,3.490200147726084e-05,0.0006810041861482583,0.0007159061876255192,161
hexyl.acetate,-0.000368467632318584,0.0003056411652566008,0.0006741087975751848,162
aroma_hops_sum,-0.0001832912332235018,0.000467980667784353,0.0006512719010078548,163
furfural,0.00033707572698200074,-0.0003124426572029853,0.0006495183841849861,164
X4.ethyl.phenol,0.0003077305484788483,0.0003292688158871729,0.0006369993643660212,165
X3Z.hexenol,-0.00024554557019883114,0.00039035013729950496,0.0006358957074983361,166
ethyl.5.methylhexanoate,-0.00038734979409437613,0.0002402072433093586,0.0006275570374037348,167
eugenol,-0.00014552851759479953,0.0004691291591590116,0.0006146576767538111,168
X.Z..beta.farnesene,1.535961622200585e-05,0.0005974066759870032,0.0006127662922090091,169
methyl.hexadecanoate,-0.00017125378572962474,-0.0004243310448111605,0.0005955848305407853,170
isobutyl_acetate,-0.0001904434265994943,0.00040220593934967805,0.0005926493659491723,171
vanillin,0.00047230916384484207,-0.0001196507097988267,0.0005919598736436688,172
iron,0.00037300461396149896,-0.00021210903966249132,0.0005851136536239903,173
MeSH,0.0001208917053920002,-0.00046416757879083164,0.0005850592841828319,174
selin.11.en.4.alpha.ol,0.00035664509047700593,-0.00022361627691700178,0.0005802613673940077,175
geraniol,0.00020605409649300708,-0.0003582094321741607,0.0005642635286671677,176
alpha.eudesmol,0.00012002181464210494,-0.00043570969058268966,0.0005557315052247946,177
Z.Z.geranyl.linalool,-3.4842270811499706e-05,0.0005147458123113004,0.0005495880831228001,178
